country,iso3c,year,gdp_capita_usd
Africa Eastern and Southern,AFE,2020,1353.7691597287
Africa Western and Central,AFW,2020,1683.43639098491
Arab World,ARB,2020,5544.63091810704
Caribbean small states,CSS,2020,8851.42495915636
Central Europe and the Baltics,CEB,2020,16293.8000324588
Early-demographic dividend,EAR,2020,3214.58080481208
East Asia & Pacific,EAS,2020,11475.4625106863
East Asia & Pacific (excluding high income),EAP,2020,8262.4792534288
East Asia & Pacific (IDA & IBRD countries),TEA,2020,8354.06518215147
Euro area,EMU,2020,38159.7299117801
Europe & Central Asia,ECS,2020,23984.2787277322
Europe & Central Asia (excluding high income),ECA,2020,7441.46530668546
Europe & Central Asia (IDA & IBRD countries),TEC,2020,8423.19600153735
European Union,EUU,2020,34330.3665256275
Fragile and conflict affected situations,FCS,2020,1705.62649860763
Heavily indebted poor countries (HIPC),HPC,2020,958.67405205183
High income,,2020,43415.6766809454
IBRD only,IBD,2020,6149.3706011807
IDA & IBRD total,IBT,2020,4887.26961089759
IDA blend,IDB,2020,1719.89506474412
IDA only,IDX,2020,1143.30689593373
IDA total,IDA,2020,1336.56488283516
Late-demographic dividend,LTE,2020,9706.8431033298
Latin America & Caribbean,LCN,2020,7289.95703684922
Latin America & Caribbean (excluding high income),LAC,2020,6789.39264970385
Latin America & the Caribbean (IDA & IBRD countries),TLA,2020,7081.44704554668
Least developed countries: UN classification,LDC,2020,1082.59240703204
Low & middle income,LMY,2020,4722.09486433859
Low income,,2020,669.659305916563
Lower middle income,,2020,2268.98274570582
Middle East & North Africa,MEA,2020,6490.43696838326
Middle East & North Africa (excluding high income),MNA,2020,3091.58826195135
Middle East & North Africa (IDA & IBRD countries),TMN,2020,3089.9126883529502
Middle income,MIC,2020,5206.16829542532
North America,"NAC",2020,61451.9761542648
Not classified,,2020,NA
OECD members,OED,2020,38326.8576017416
Other small states,OSS,2020,11683.1860582817
Pacific island small states,PSS,2020,3707.31058055127
Post-demographic dividend,PST,2020,44474.5497503182
Pre-demographic dividend,PRE,2020,1331.07606428647
Small states,SST,2020,10702.9616881658
South Asia,SAS,2020,1852.30008753936
South Asia (IDA & IBRD),TSA,2020,1852.30008753937
Sub-Saharan Africa,SSF,2020,1487.25915302475
Sub-Saharan Africa (excluding high income),SSA,2020,1486.29080975314
Sub-Saharan Africa (IDA & IBRD countries),TSS,2020,1487.25915302475
Upper middle income,,2020,9157.82001579761
World,WLD,2020,10881.7037024006
Afghanistan,AFG,2020,516.866552182696
Albania,ALB,2020,5332.16047456847
Algeria,DZA,2020,3337.25251157504
American Samoa,ASM,2020,15501.5263374397
Andorra,AND,2020,37207.4938608348
Angola,AGO,2020,1603.99347745326
Antigua and Barbuda,ATG,2020,14787.6357752901
Argentina,ARG,2020,8496.42414176374
Armenia,ARM,2020,4505.86736397124
Aruba,ABW,2020,24487.8635601966
Australia,AUS,2020,51720.3707634401
Austria,AUT,2020,48809.2268762243
Azerbaijan,AZE,2020,4229.91064904503
"Bahamas, The",BHS,2020,23862.7109929122
Bahrain,BHR,2020,23501.9194628168
Bangladesh,BGD,2020,2233.30552399269
Barbados,BRB,2020,16643.8065787177
Belarus,BLR,2020,6542.79749130553
Belgium,BEL,2020,45517.7949301847
Belize,BLZ,2020,5266.87616004213
Benin,BEN,2020,1237.94929535039
Bermuda,BMU,2020,107791.886435134
Bhutan,BTN,2020,3009.92417072191
Bolivia,BOL,2020,3068.81255507604
Bosnia and Herzegovina,BIH,2020,6012.06276705855
Botswana,BWA,2020,5863.20324072216
Brazil,BRA,2020,6794.48915877166
British Virgin Islands,VGB,2020,NA
Brunei Darussalam,BRN,2020,27179.4119853371
Bulgaria,BGR,2020,10129.8129597638
Burkina Faso,BFA,2020,833.244342636324
Burundi,BDI,2020,216.826741341377
Cabo Verde,CPV,2020,2924.10180677162
Cambodia,KHM,2020,1577.91174726099
Cameroon,CMR,2020,1539.13055856256
Canada,CAN,2020,43258.2638715601
Cayman Islands,CYM,2020,83329.4587744645
Central African Republic,CAF,2020,435.469251582856
Chad,TCD,2020,643.772221286329
Channel Islands,CHI,2020,NA
Chile,CHL,2020,13094.4595313609
China,CHN,2020,10408.6697561349
Colombia,COL,2020,5307.21522798919
Comoros,COM,2020,1519.58682298786
"Congo, Dem. Rep.",COD,2020,524.666675441091
"Congo, Rep.",COG,2020,1838.44813852491
Costa Rica,CRI,2020,12132.8768848243
Cote d'Ivoire,CIV,2020,2288.11949762033
Croatia,HRV,2020,14198.7539594744
Cuba,CUB,2020,9499.59020230432
Curacao,CUW,2020,16109.8617501685
Cyprus,CYP,2020,28036.189453125
Czechia,CZE,2020,22992.8793833348
Denmark,DNK,2020,60915.4243995462
Djibouti,DJI,2020,2917.9962809563
Dominica,DMA,2020,7003.46989117043
Dominican Republic,DOM,2020,7167.91915908327
Ecuador,ECU,2020,5645.19928965332
"Egypt, Arab Rep.",EGY,2020,3398.80143153083
El Salvador,SLV,2020,3903.39583878605
Equatorial Guinea,GNQ,2020,6327.59901151363
Eritrea,ERI,2020,NA
Estonia,EST,2020,23595.2436836441
Eswatini,SWZ,2020,3372.89560064925
Ethiopia,ETH,2020,918.652594077418
Faroe Islands,FRO,2020,61980.2900239725
Fiji,FJI,2020,4864.11704680273
Finland,FIN,2020,49170.7521512441
France,FRA,2020,39055.2829280754
French Polynesia,PYF,2020,18910.3801296387
Gabon,GAB,2020,6680.08267035383
"Gambia, The",GMB,2020,704.029916035493
Georgia,GEO,2020,4255.74299321254
Germany,DEU,2020,46772.8253507545
Ghana,GHA,2020,2176.57945945697
Gibraltar,GIB,2020,NA
Greece,GRC,2020,17658.9473011192
Greenland,GRL,2020,54571.2091605745
Grenada,GRD,2020,8437.56673228706
Guam,GUM,2020,34780.8616624614
Guatemala,GTM,2020,4604.57667897864
Guinea,GIN,2020,1073.65933709951
Guinea-Bissau,GNB,2020,710.258138543444
Guyana,GUY,2020,6863.07434593017
Haiti,HTI,2020,1283.14082978936
Honduras,HND,2020,2354.11961431042
"Hong Kong SAR, China",HKG,2020,46107.7652757721
Hungary,HUN,2020,16120.9890495243
Iceland,ISL,2020,59200.1779441092
India,IND,2020,1910.42147282449
Indonesia,IDN,2020,3894.27220196922
"Iran, Islamic Rep.",IRN,2020,2746.42044957439
Iraq,IRQ,2020,4332.30412463995
Ireland,IRL,2020,85420.1908556097
Isle of Man,IMN,2020,NA
Israel,ISR,2020,44846.7915954816
Italy,ITA,2020,31911.0357890017
Jamaica,JAM,2020,4897.26589668631
Japan,JPN,2020,39918.1675583443
Jordan,JOR,2020,4042.7693498462
Kazakhstan,KAZ,2020,9121.63713797145
Kenya,KEN,2020,1936.42458891104
Kiribati,KIR,2020,1430.55157354026
"Korea, Dem. People's Rep.",PRK,2020,NA
"Korea, Rep.",KOR,2020,31721.2989141857
Kosovo,XKX,2020,4310.81118337317
Kuwait,KWT,2020,24300.32943621
Kyrgyz Republic,KGZ,2020,1182.52170043018
Lao PDR,LAO,2020,2593.35509719847
Latvia,LVA,2020,18207.1396408631
Lebanon,LBN,2020,5599.95752260733
Lesotho,LSO,2020,989.847170700549
Liberia,LBR,2020,597.529691893048
Libya,LBY,2020,7568.04201096325
Liechtenstein,LIE,2020,157754.954373893
Lithuania,LTU,2020,20339.5212699052
Luxembourg,LUX,2020,117370.496900162
"Macao SAR, China",MAC,2020,37646.3161952623
Madagascar,MDG,2020,462.404223694817
Malawi,MWI,2020,628.699481965162
Malaysia,MYS,2020,10160.7832470071
Maldives,MDV,2020,7282.35848902548
Mali,MLI,2020,822.906143972366
Malta,MLT,2020,28977.5655673636
Marshall Islands,MHL,2020,5567.97272706332
Mauritania,MRT,2020,1868.4665735741
Mauritius,MUS,2020,9007.41910231356
Mexico,MEX,2020,8655.00068206803
"Micronesia, Fed. Sts.",FSM,2020,3639.41269869588
Moldova,MDA,2020,4500.62446389838
Monaco,MCO,2020,182538.638340211
Mongolia,MNG,2020,4041.17419587656
Montenegro,MNE,2020,7677.15222569996
Morocco,MAR,2020,3258.12133789063
Mozambique,MOZ,2020,449.95520984244
Myanmar,MMR,2020,1477.45287032594
Namibia,"NAM",2020,4251.17276622988
Nauru,NRU,2020,9307.88676841439
Nepal,NPL,2020,1139.19027666733
Netherlands,NLD,2020,52162.5701150406
New Caledonia,NCL,2020,34800.7595147977
New Zealand,NZL,2020,41596.5055023403
Nicaragua,NIC,2020,1863.10925664373
Niger,NER,2020,564.822001755189
Nigeria,NGA,2020,2074.61392802438
North Macedonia,MKD,2020,5965.45023195365
Northern Mariana Islands,MNP,2020,NA
Norway,NOR,2020,67329.6777910967
Oman,OMN,2020,16707.6230063214
Pakistan,PAK,2020,1322.31503608163
Palau,PLW,2020,14016.2474961051
Panama,PAN,2020,12569.1715435651
Papua New Guinea,PNG,2020,2446.06630562295
Paraguay,PRY,2020,5353.34806456279
Peru,PER,2020,6056.34390291445
Philippines,PHL,2020,3224.42255131214
Poland,POL,2020,15816.989398397
Portugal,PRT,2020,22242.406417972
Puerto Rico,PRI,2020,31393.9073690446
Qatar,QAT,2020,52315.6600783116
Romania,ROU,2020,13047.4320617591
Russian Federation,RUS,2020,10169.0869140625
Rwanda,RWA,2020,774.689259444614
Samoa,WSM,2020,4042.75122353237
San Marino,SMR,2020,45320.2087156066
Sao Tome and Principe,STP,2020,2161.31019577016
Saudi Arabia,SAU,2020,19539.5658107346
Senegal,SEN,2020,1490.20313694645
Serbia,SRB,2020,7733.80286920471
Seychelles,SYC,2020,12808.9874683728
Sierra Leone,SLE,2020,493.478777501977
Singapore,SGP,2020,60729.4503486794
Sint Maarten (Dutch part),SXM,2020,NA
Slovak Republic,SVK,2020,19545.7428171932
Slovenia,SVN,2020,25545.2410027136
Solomon Islands,SLB,2020,2222.4656361989
Somalia,SOM,2020,416.217774718244
South Africa,ZAF,2020,5741.64312911877
South Sudan,SSD,2020,NA
Spain,ESP,2020,26959.6754367326
Sri Lanka,LKA,2020,3893.84151516764
St. Kitts and Nevis,KNA,2020,18566.0955863718
St. Lucia,LCA,2020,8458.1627606739
St. Martin (French part),MAF,2020,NA
St. Vincent and the Grenadines,VCT,2020,8335.25647560551
Sudan,SDN,2020,608.33251953125
Suriname,SUR,2020,4796.53331389928
Sweden,SWE,2020,52837.9039778149
Switzerland,CHE,2020,85656.322666307
Syrian Arab Republic,SYR,2020,533.3852317094
Tajikistan,TJK,2020,852.333670212118
Tanzania,TZA,2020,1042.0966796875
Thailand,THA,2020,6990.93550262041
Timor-Leste,TLS,2020,1660.30833959898
Togo,TGO,2020,897.194575433309
Tonga,TON,2020,4606.06455169288
Trinidad and Tobago,TTO,2020,13871.7982194664
Tunisia,TUN,2020,3497.68141046011
Turkiye,TUR,2020,8561.07094781987
Turkmenistan,TKM,2020,NA
Turks and Caicos Islands,TCA,2020,20882.2612702141
Tuvalu,TUV,2020,4973.77456126816
Uganda,UGA,2020,846.767201292225
Ukraine,UKR,2020,3751.74072265625
United Arab Emirates,ARE,2020,37629.1741687956
United Kingdom,GBR,2020,40318.5575660493
United States,USA,2020,63530.633483909
Uruguay,URY,2020,15619.5426555695
Uzbekistan,UZB,2020,1749.65581532206
Vanuatu,VUT,2020,2877.52017323582
"Venezuela, RB",VEN,2020,NA
Vietnam,VNM,2020,3586.34730171843
Virgin Islands (U.S.),VIR,2020,39552.1685953523
West Bank and Gaza,PSE,2020,3233.56863835858
"Yemen, Rep.",YEM,2020,NA
Zambia,ZMB,2020,956.831363865706
Zimbabwe,ZWE,2020,1372.69667433317
